condition,seed,epoch,batch_index,num_batches,global_step,train_loss
supervised,2,1,1,63,0,2.3304476737976074
supervised,2,1,2,63,1,2.2847135066986084
supervised,2,1,3,63,2,2.261094093322754
supervised,2,1,4,63,3,2.271451473236084
supervised,2,1,5,63,4,2.2921273708343506
supervised,2,1,6,63,5,2.222503662109375
supervised,2,1,7,63,6,2.1804606914520264
supervised,2,1,8,63,7,2.1960935592651367
supervised,2,1,9,63,8,2.1478872299194336
supervised,2,1,10,63,9,2.135683536529541
supervised,2,1,11,63,10,2.130369186401367
supervised,2,1,12,63,11,2.0868265628814697
supervised,2,1,13,63,12,2.0895824432373047
supervised,2,1,14,63,13,2.043548345565796
supervised,2,1,15,63,14,2.075932025909424
supervised,2,1,16,63,15,2.0306355953216553
supervised,2,1,17,63,16,2.0365352630615234
supervised,2,1,18,63,17,1.9638915061950684
supervised,2,1,19,63,18,1.9933794736862183
supervised,2,1,20,63,19,1.9768229722976685
supervised,2,1,21,63,20,1.9825935363769531
supervised,2,1,22,63,21,1.9142165184020996
supervised,2,1,23,63,22,1.8962438106536865
supervised,2,1,24,63,23,1.9086509943008423
supervised,2,1,25,63,24,1.8797484636306763
supervised,2,1,26,63,25,1.8676271438598633
supervised,2,1,27,63,26,1.8924846649169922
supervised,2,1,28,63,27,1.8449010848999023
supervised,2,1,29,63,28,1.829619288444519
supervised,2,1,30,63,29,1.8386279344558716
supervised,2,1,31,63,30,1.79502272605896
supervised,2,1,32,63,31,1.7154808044433594
supervised,2,1,33,63,32,1.7867432832717896
supervised,2,1,34,63,33,1.7104030847549438
supervised,2,1,35,63,34,1.7271329164505005
supervised,2,1,36,63,35,1.775701642036438
supervised,2,1,37,63,36,1.7777447700500488
supervised,2,1,38,63,37,1.7015080451965332
supervised,2,1,39,63,38,1.680153250694275
supervised,2,1,40,63,39,1.657056212425232
supervised,2,1,41,63,40,1.6642780303955078
supervised,2,1,42,63,41,1.651840090751648
supervised,2,1,43,63,42,1.6293063163757324
supervised,2,1,44,63,43,1.616997480392456
supervised,2,1,45,63,44,1.5752044916152954
supervised,2,1,46,63,45,1.5907284021377563
supervised,2,1,47,63,46,1.6041972637176514
supervised,2,1,48,63,47,1.5406620502471924
supervised,2,1,49,63,48,1.5778133869171143
supervised,2,1,50,63,49,1.5620782375335693
supervised,2,1,51,63,50,1.5138609409332275
supervised,2,1,52,63,51,1.555148959159851
supervised,2,1,53,63,52,1.5177961587905884
supervised,2,1,54,63,53,1.5572795867919922
supervised,2,1,55,63,54,1.5141184329986572
supervised,2,1,56,63,55,1.518737554550171
supervised,2,1,57,63,56,1.5300418138504028
supervised,2,1,58,63,57,1.4574304819107056
supervised,2,1,59,63,58,1.480046272277832
supervised,2,1,60,63,59,1.4548741579055786
supervised,2,1,61,63,60,1.4268996715545654
supervised,2,1,62,63,61,1.4747323989868164
supervised,2,1,63,63,62,1.4894628524780273
supervised,2,2,1,63,63,1.372722864151001
supervised,2,2,2,63,64,1.4826738834381104
supervised,2,2,3,63,65,1.3830329179763794
supervised,2,2,4,63,66,1.3968429565429688
supervised,2,2,5,63,67,1.3923704624176025
supervised,2,2,6,63,68,1.3772464990615845
supervised,2,2,7,63,69,1.3218588829040527
supervised,2,2,8,63,70,1.4315333366394043
supervised,2,2,9,63,71,1.34492027759552
supervised,2,2,10,63,72,1.3692939281463623
supervised,2,2,11,63,73,1.2880916595458984
supervised,2,2,12,63,74,1.3447649478912354
supervised,2,2,13,63,75,1.239798903465271
supervised,2,2,14,63,76,1.3153208494186401
supervised,2,2,15,63,77,1.264674186706543
supervised,2,2,16,63,78,1.3091156482696533
supervised,2,2,17,63,79,1.2303848266601562
supervised,2,2,18,63,80,1.247145652770996
supervised,2,2,19,63,81,1.2969437837600708
supervised,2,2,20,63,82,1.2206403017044067
supervised,2,2,21,63,83,1.2591922283172607
supervised,2,2,22,63,84,1.1865651607513428
supervised,2,2,23,63,85,1.2904108762741089
supervised,2,2,24,63,86,1.2502416372299194
supervised,2,2,25,63,87,1.1412692070007324
supervised,2,2,26,63,88,1.2217389345169067
supervised,2,2,27,63,89,1.1720268726348877
supervised,2,2,28,63,90,1.1963776350021362
supervised,2,2,29,63,91,1.2349963188171387
supervised,2,2,30,63,92,1.0792078971862793
supervised,2,2,31,63,93,1.1288139820098877
supervised,2,2,32,63,94,1.1304912567138672
supervised,2,2,33,63,95,1.1707849502563477
supervised,2,2,34,63,96,1.1243923902511597
supervised,2,2,35,63,97,1.165100336074829
supervised,2,2,36,63,98,1.0799858570098877
supervised,2,2,37,63,99,1.14376699924469
supervised,2,2,38,63,100,1.1732207536697388
supervised,2,2,39,63,101,1.1102871894836426
supervised,2,2,40,63,102,1.1188585758209229
supervised,2,2,41,63,103,1.0887813568115234
supervised,2,2,42,63,104,1.0473687648773193
supervised,2,2,43,63,105,1.1344470977783203
supervised,2,2,44,63,106,1.163219928741455
supervised,2,2,45,63,107,1.1033241748809814
supervised,2,2,46,63,108,1.1015698909759521
