condition,seed,recipe_id,epoch,train_loss,val_loss,train_acc,val_acc,lr
random_init,1,random_init_recipe_v1,32,1.3614983081817627,1.4752853755950928,0.50025,0.513,0.023037401924684956
random_init,1,random_init_recipe_v1,33,1.3331609268188476,1.3219976444244386,0.505,0.527,0.02263562123625558
random_init,1,random_init_recipe_v1,34,1.3218563470840454,1.680305365562439,0.51675,0.531,0.02222630511152574
random_init,1,random_init_recipe_v1,35,1.2922581005096436,1.2020228862762452,0.52975,0.543,0.02180985749609321
random_init,1,random_init_recipe_v1,36,1.2709869537353515,1.578982702255249,0.531,0.543,0.021386689373476098
random_init,1,random_init_recipe_v1,37,1.2725595331192017,1.6721965503692626,0.5275,0.546,0.020957218359521718
random_init,1,random_init_recipe_v1,38,1.2746580591201782,2.271747754096985,0.53,0.554,0.02052186829027018
random_init,1,random_init_recipe_v1,39,1.2216979656219482,1.2203493947982789,0.55875,0.551,0.02008106880367938
random_init,1,random_init_recipe_v1,40,1.2023896160125733,1.3951993465423584,0.555,0.556,0.01963525491562422
random_init,1,random_init_recipe_v1,41,1.22172553730011,1.2392679328918457,0.55125,0.559,0.019184866590588448
random_init,1,random_init_recipe_v1,42,1.216376498222351,1.4437887153625488,0.56225,0.576,0.018730348307472826
random_init,1,random_init_recipe_v1,43,1.2030229454040526,2.2834904413223267,0.5645,0.561,0.018272148620948146
random_init,1,random_init_recipe_v1,44,1.1681777992248534,1.2405125045776366,0.57025,0.571,0.017810719718785877
random_init,1,random_init_recipe_v1,45,1.1718037295341492,1.1228500003814696,0.576,0.569,0.01734651697560347
random_init,1,random_init_recipe_v1,46,1.15110164642334,1.9622530517578125,0.581,0.58,0.016879998503464572
random_init,1,random_init_recipe_v1,47,1.1725701723098756,1.7045426740646363,0.57575,0.595,0.016411624699777718
random_init,1,random_init_recipe_v1,48,1.1410136547088623,2.594534659385681,0.58,0.593,0.015941857792939707
random_init,1,random_init_recipe_v1,49,1.1395627641677857,1.505489179611206,0.57925,0.596,0.01547116138617193
random_init,1,random_init_recipe_v1,50,1.105007869720459,1.8229710807800292,0.601,0.594,0.015000000000000005
random_init,1,random_init_recipe_v1,51,1.1092166624069213,1.3337604026794434,0.59625,0.582,0.014528838613828081
random_init,1,random_init_recipe_v1,52,1.088378589630127,2.3072335023880006,0.6065,0.578,0.014058142207060304
random_init,1,random_init_recipe_v1,53,1.091842924118042,2.3336964640617373,0.60375,0.609,0.013588375300222288
random_init,1,random_init_recipe_v1,54,1.0569289150238037,1.6716617689132691,0.6065,0.606,0.01312000149653544
random_init,1,random_init_recipe_v1,55,1.057418692588806,1.3898695392608642,0.616,0.61,0.012653483024396539
random_init,1,random_init_recipe_v1,56,1.0330520210266114,1.32902663898468,0.62375,0.619,0.012189280281214132
