condition,seed,epoch,batch_index,num_batches,global_step,train_loss
swav,0,1,1,63,0,2.323908805847168
swav,0,1,2,63,1,2.298772096633911
swav,0,1,3,63,2,2.2940473556518555
swav,0,1,4,63,3,2.2986860275268555
swav,0,1,5,63,4,2.2755465507507324
swav,0,1,6,63,5,2.2594261169433594
swav,0,1,7,63,6,2.2730813026428223
swav,0,1,8,63,7,2.2532060146331787
swav,0,1,9,63,8,2.2324318885803223
swav,0,1,10,63,9,2.228321075439453
swav,0,1,11,63,10,2.200042247772217
swav,0,1,12,63,11,2.1854379177093506
swav,0,1,13,63,12,2.1995842456817627
swav,0,1,14,63,13,2.1827011108398438
swav,0,1,15,63,14,2.1729159355163574
swav,0,1,16,63,15,2.15655255317688
swav,0,1,17,63,16,2.129289150238037
swav,0,1,18,63,17,2.12315034866333
swav,0,1,19,63,18,2.1566715240478516
swav,0,1,20,63,19,2.134678840637207
swav,0,1,21,63,20,2.1114461421966553
swav,0,1,22,63,21,2.1282238960266113
swav,0,1,23,63,22,2.0622968673706055
swav,0,1,24,63,23,2.099898099899292
swav,0,1,25,63,24,2.0811409950256348
swav,0,1,26,63,25,2.0612833499908447
swav,0,1,27,63,26,2.071326971054077
swav,0,1,28,63,27,2.0430941581726074
swav,0,1,29,63,28,2.0297203063964844
swav,0,1,30,63,29,2.022890567779541
swav,0,1,31,63,30,1.9942983388900757
swav,0,1,32,63,31,2.008305072784424
swav,0,1,33,63,32,2.0119075775146484
swav,0,1,34,63,33,1.9655787944793701
swav,0,1,35,63,34,2.013880968093872
swav,0,1,36,63,35,1.9539164304733276
swav,0,1,37,63,36,1.9474785327911377
swav,0,1,38,63,37,1.9733567237854004
swav,0,1,39,63,38,1.9997007846832275
swav,0,1,40,63,39,1.9270625114440918
swav,0,1,41,63,40,1.9204647541046143
swav,0,1,42,63,41,1.9069470167160034
swav,0,1,43,63,42,1.895714521408081
swav,0,1,44,63,43,1.906633973121643
swav,0,1,45,63,44,1.9116497039794922
swav,0,1,46,63,45,1.9074701070785522
swav,0,1,47,63,46,1.8847568035125732
swav,0,1,48,63,47,1.8844389915466309
swav,0,1,49,63,48,1.8556833267211914
swav,0,1,50,63,49,1.842498779296875
swav,0,1,51,63,50,1.9047822952270508
swav,0,1,52,63,51,1.8296395540237427
swav,0,1,53,63,52,1.82283353805542
swav,0,1,54,63,53,1.777582049369812
swav,0,1,55,63,54,1.805051565170288
swav,0,1,56,63,55,1.7774994373321533
swav,0,1,57,63,56,1.7532813549041748
swav,0,1,58,63,57,1.8257486820220947
swav,0,1,59,63,58,1.7651770114898682
swav,0,1,60,63,59,1.7419662475585938
swav,0,1,61,63,60,1.7969861030578613
swav,0,1,62,63,61,1.7109959125518799
swav,0,1,63,63,62,1.6861884593963623
swav,0,2,1,63,63,1.7102632522583008
swav,0,2,2,63,64,1.728461742401123
swav,0,2,3,63,65,1.7184725999832153
swav,0,2,4,63,66,1.708479642868042
swav,0,2,5,63,67,1.6919363737106323
swav,0,2,6,63,68,1.66128408908844
swav,0,2,7,63,69,1.6511226892471313
swav,0,2,8,63,70,1.693102478981018
swav,0,2,9,63,71,1.696594476699829
swav,0,2,10,63,72,1.6834278106689453
swav,0,2,11,63,73,1.648054599761963
swav,0,2,12,63,74,1.6583995819091797
swav,0,2,13,63,75,1.686974048614502
swav,0,2,14,63,76,1.6778645515441895
swav,0,2,15,63,77,1.622301697731018
swav,0,2,16,63,78,1.6063134670257568
swav,0,2,17,63,79,1.5750095844268799
swav,0,2,18,63,80,1.56953763961792
swav,0,2,19,63,81,1.6004674434661865
swav,0,2,20,63,82,1.5543495416641235
swav,0,2,21,63,83,1.523138165473938
swav,0,2,22,63,84,1.6103541851043701
swav,0,2,23,63,85,1.5370250940322876
swav,0,2,24,63,86,1.5357168912887573
swav,0,2,25,63,87,1.5353566408157349
swav,0,2,26,63,88,1.5322964191436768
swav,0,2,27,63,89,1.5876977443695068
swav,0,2,28,63,90,1.563202142715454
swav,0,2,29,63,91,1.513237714767456
swav,0,2,30,63,92,1.5551540851593018
swav,0,2,31,63,93,1.557042121887207
swav,0,2,32,63,94,1.5554192066192627
swav,0,2,33,63,95,1.490851640701294
swav,0,2,34,63,96,1.481087327003479
swav,0,2,35,63,97,1.5337285995483398
swav,0,2,36,63,98,1.496947169303894
swav,0,2,37,63,99,1.5509817600250244
swav,0,2,38,63,100,1.538578987121582
swav,0,2,39,63,101,1.472184419631958
swav,0,2,40,63,102,1.509022831916809
swav,0,2,41,63,103,1.472985029220581
swav,0,2,42,63,104,1.3732950687408447
swav,0,2,43,63,105,1.4900283813476562
swav,0,2,44,63,106,1.5039581060409546
swav,0,2,45,63,107,1.3720717430114746
swav,0,2,46,63,108,1.4490711688995361
swav,0,2,47,63,109,1.3827762603759766
swav,0,2,48,63,110,1.424633264541626
swav,0,2,49,63,111,1.4091010093688965
swav,0,2,50,63,112,1.4236924648284912
swav,0,2,51,63,113,1.43275785446167
swav,0,2,52,63,114,1.3849844932556152
swav,0,2,53,63,115,1.3137433528900146
swav,0,2,54,63,116,1.3935325145721436
swav,0,2,55,63,117,1.4303371906280518
swav,0,2,56,63,118,1.3764264583587646
swav,0,2,57,63,119,1.3562877178192139
swav,0,2,58,63,120,1.3212647438049316
swav,0,2,59,63,121,1.3798489570617676
swav,0,2,60,63,122,1.3343130350112915
swav,0,2,61,63,123,1.389689564704895
swav,0,2,62,63,124,1.3717365264892578
swav,0,2,63,63,125,1.3876729011535645
swav,0,3,1,63,126,1.3719202280044556
swav,0,3,2,63,127,1.3182697296142578
swav,0,3,3,63,128,1.3777996301651
swav,0,3,4,63,129,1.2707798480987549
swav,0,3,5,63,130,1.3046679496765137
swav,0,3,6,63,131,1.2055100202560425
swav,0,3,7,63,132,1.2775081396102905
swav,0,3,8,63,133,1.3021016120910645
swav,0,3,9,63,134,1.2433091402053833
swav,0,3,10,63,135,1.284200668334961
swav,0,3,11,63,136,1.3729734420776367
swav,0,3,12,63,137,1.1864535808563232
swav,0,3,13,63,138,1.3014076948165894
swav,0,3,14,63,139,1.2123494148254395
swav,0,3,15,63,140,1.2958369255065918
swav,0,3,16,63,141,1.2908849716186523
swav,0,3,17,63,142,1.2328250408172607
swav,0,3,18,63,143,1.2106157541275024
swav,0,3,19,63,144,1.194518804550171
swav,0,3,20,63,145,1.2132490873336792
swav,0,3,21,63,146,1.1465489864349365
swav,0,3,22,63,147,1.2418137788772583
swav,0,3,23,63,148,1.2137250900268555
swav,0,3,24,63,149,1.2297934293746948
swav,0,3,25,63,150,1.2838619947433472
swav,0,3,26,63,151,1.286186933517456
swav,0,3,27,63,152,1.2138829231262207
swav,0,3,28,63,153,1.197317123413086
swav,0,3,29,63,154,1.202225923538208
swav,0,3,30,63,155,1.2270106077194214
swav,0,3,31,63,156,1.2454133033752441
swav,0,3,32,63,157,1.1293621063232422
swav,0,3,33,63,158,1.1056361198425293
swav,0,3,34,63,159,1.1957893371582031
swav,0,3,35,63,160,1.1932170391082764
swav,0,3,36,63,161,1.1936395168304443
swav,0,3,37,63,162,1.213503122329712
swav,0,3,38,63,163,1.2527915239334106
swav,0,3,39,63,164,1.1567366123199463
swav,0,3,40,63,165,1.2066874504089355
swav,0,3,41,63,166,1.0793018341064453
swav,0,3,42,63,167,1.2233996391296387
swav,0,3,43,63,168,1.0859730243682861
swav,0,3,44,63,169,1.1444389820098877
swav,0,3,45,63,170,1.0837273597717285
swav,0,3,46,63,171,1.1135706901550293
swav,0,3,47,63,172,1.1503301858901978
swav,0,3,48,63,173,1.1279513835906982
swav,0,3,49,63,174,1.1245815753936768
swav,0,3,50,63,175,1.083664894104004
swav,0,3,51,63,176,1.088598370552063
swav,0,3,52,63,177,1.061549425125122
swav,0,3,53,63,178,1.1182273626327515
swav,0,3,54,63,179,1.162399411201477
swav,0,3,55,63,180,1.1612768173217773
swav,0,3,56,63,181,1.0835862159729004
swav,0,3,57,63,182,1.087477445602417
swav,0,3,58,63,183,1.0763275623321533
swav,0,3,59,63,184,1.0910418033599854
swav,0,3,60,63,185,1.0400937795639038
swav,0,3,61,63,186,1.0504027605056763
swav,0,3,62,63,187,1.0668057203292847
