condition,seed,method,slice,n_images,mean_insertion_auc,mean_deletion_auc,mean_drop_top10,mean_drop_top20,flip_rate_top10,flip_rate_top20
swav,1,gradcam,primary,118,0.8491240264110148,0.60822981170032,0.07136370443691642,0.1600518044778856,0.00847457627118644,0.07627118644067797
swav,1,gradcampp,all200,200,0.7352375307379249,0.6004059730549244,0.06352657869458199,0.12957958959043026,0.06,0.085
swav,1,gradcampp,primary,118,0.7992024205765234,0.6988329245219376,0.04666707450050419,0.08929472328242609,0.00847457627118644,0.01694915254237288
swav,1,occlusion,all200,200,0.748321046666561,0.5103016873233757,0.19322297640144825,0.281640048250556,0.14,0.245
swav,1,occlusion,primary,118,0.8117257151865115,0.6021785871442288,0.14971524375980183,0.22909097272460743,0.05084745762711865,0.11864406779661017
swav,2,gradcam,all200,200,0.7965808283033765,0.5342394874982725,0.09808393880724907,0.19537181451916694,0.065,0.16
swav,2,gradcam,primary,123,0.8431705893887066,0.6022257129300792,0.06828840476710622,0.15006509302108267,0.024390243902439025,0.08943089430894309
swav,2,gradcampp,all200,200,0.744369822972303,0.6106477509632395,0.06474399827420711,0.12258853182196618,0.05,0.07
swav,2,gradcampp,primary,123,0.798740203157619,0.6846231334565328,0.047485861594114845,0.08276564633943201,0.016260162601626018,0.024390243902439025
swav,2,occlusion,all200,200,0.7552160924026927,0.5191411721637078,0.19276881143450736,0.2790255069732666,0.145,0.255
swav,2,occlusion,primary,123,0.8060830981854809,0.5957861554825895,0.14567236929405025,0.22565778653796126,0.07317073170731707,0.17073170731707318
