condition,seed,method,slice,n_images,mean_insertion_auc,mean_deletion_auc,mean_target_logit_original,mean_norm_insertion_auc,mean_norm_deletion_auc,mean_drop_top10,mean_drop_top20,flip_rate_top10,flip_rate_top20
moco,2,gradcam,primary,123,0.5872373050265258,0.337656411545379,0.7913684956426543,0.7471756508855525,0.4321492074136932,0.1158249460584749,0.28658399603715756,0.04065040650406504,0.08943089430894309
moco,2,gradcampp,all200,200,0.5289860452332305,0.3133968888991005,0.7243999460339546,0.7339343347787818,0.4430662883229212,0.12560352426022292,0.2699677060544491,0.08,0.14
moco,2,gradcampp,primary,123,0.5793599889487503,0.34255209330229197,0.7913684956426543,0.7361067421739048,0.43828226297748274,0.1064224493939702,0.27316825249330784,0.032520325203252036,0.07317073170731707
moco,2,occlusion,all200,200,0.49639580043344295,0.2992793345769962,0.7243999460339546,0.7013597383740101,0.41802430959995446,0.24783926501870154,0.322457327619195,0.145,0.23
moco,2,occlusion,primary,123,0.548314744256941,0.33233275027100134,0.7913684956426543,0.6995406224586691,0.42442211512497385,0.2529775700191172,0.33505593094883895,0.08130081300813008,0.15447154471544716
random_init,0,gradcam,all200,200,0.7051771252175033,0.6057025092116928,0.7689349773526192,0.9059201911331898,0.7732889715515302,0.05629535801708698,0.10053863480687142,0.095,0.175
random_init,0,gradcam,primary,127,0.7931089415100938,0.6981121237026167,0.8500710261149669,0.9279582486002932,0.8087337317965061,0.05286160885818361,0.09249059809005167,0.08661417322834646,0.11811023622047244
random_init,0,gradcampp,all200,200,0.6958689044079297,0.6133314078084047,0.7689349773526192,0.8920296535812666,0.784811989855979,0.04864909321069717,0.09380745016038418,0.115,0.175
random_init,0,gradcampp,primary,127,0.787715328482079,0.7033727294474491,0.8500710261149669,0.9193783293199386,0.8162467858293586,0.053334691041097865,0.0927235213086361,0.10236220472440945,0.11811023622047244
random_init,0,occlusion,all200,200,0.8887937288857753,0.3812802163443385,0.7689349773526192,1.2229226229109391,0.4502753092171674,0.30737119153141973,0.3894777415692806,0.485,0.58
random_init,0,occlusion,primary,127,0.9280532054471904,0.48579250890406456,0.8500710261149669,1.1314478549415985,0.5381064120306636,0.2683911196828827,0.3573828658719701,0.3228346456692913,0.44881889763779526
random_init,1,gradcam,all200,200,0.7140736856797397,0.6590456405545697,0.7556033493578433,0.943051222753823,0.8661696683235561,0.03846651330590248,0.06907694876194,0.085,0.14
random_init,1,gradcam,primary,118,0.8018233387219769,0.7325658031270461,0.838070875254728,0.9563905042218646,0.861704000282762,0.03878052052804979,0.07101180063465894,0.059322033898305086,0.0847457627118644
random_init,1,gradcampp,all200,200,0.7028835814025398,0.6719099146040185,0.7556033493578433,0.9243006539104391,0.8882113473623652,0.022370807081460952,0.045777193754911426,0.08,0.11
random_init,1,gradcampp,primary,118,0.7910182769911344,0.7485073023759542,0.838070875254728,0.9396144421890862,0.8864114073783237,0.02519334385455665,0.05231558922993935,0.0423728813559322,0.05084745762711865
random_init,1,occlusion,all200,200,0.8778867147709803,0.44117829076825804,0.7556033493578433,1.2325129926280551,0.5357727450123047,0.23274241514503957,0.3119155228883028,0.39,0.505
random_init,1,occlusion,primary,118,0.9185995465612639,0.5497045446982451,0.838070875254728,1.1348527076648056,0.6201838387135753,0.19904000665676796,0.2783479098293741,0.2457627118644068,0.3559322033898305
random_init,2,gradcam,all200,200,0.71146884710904,0.6356432740169317,0.7606976136565209,0.9320812282422674,0.8275739334910054,0.037856196761131285,0.07328661024570465,0.075,0.135
random_init,2,gradcam,primary,123,0.8061072146255863,0.7186710590463898,0.8496172263370296,0.9498721716084328,0.8355004265654625,0.043208057318276503,0.08585836332503373,0.06504065040650407,0.11382113821138211
random_init,2,gradcampp,all200,200,0.699747145294471,0.6469298796825447,0.7606976136565209,0.914806576394289,0.8455647022476717,0.027113165110349655,0.059228175058960914,0.09,0.15
random_init,2,gradcampp,primary,123,0.7946545509368809,0.7286622219856782,0.8496172263370296,0.9323309722127046,0.8516541915061042,0.0369691618574344,0.0654689248015241,0.056910569105691054,0.0975609756097561
random_init,2,occlusion,all200,200,0.8821848703316842,0.40166157484261517,0.7606976136565209,1.2276984182779855,0.48621228233611385,0.2816471745073795,0.35998381301760674,0.475,0.575
random_init,2,occlusion,primary,123,0.9285733575569064,0.502583784219229,0.8496172263370296,1.1309232397970648,0.562996296734777,0.2613874450931704,0.34322599812251764,0.34146341463414637,0.43902439024390244
supervised,0,gradcam,all200,200,0.9011824496922326,0.7948574696256947,0.9535307696461678,0.9468153571331628,0.8255323002013335,0.035207131952047346,0.06612579554319381,0.035,0.07
supervised,0,gradcam,primary,127,0.9386914658381101,0.858581768469879,0.9778375123429486,0.9600122938813527,0.8761636995627397,0.01173039989208612,0.024037541366937594,0.007874015748031496,0.007874015748031496
supervised,0,gradcampp,all200,200,0.8824100991496424,0.8214344973417178,0.9535307696461678,0.922675202900836,0.858666594277794,0.016961565017700197,0.02876026973128319,0.015,0.025
supervised,0,gradcampp,primary,127,0.9281629535904103,0.8763469039362652,0.9778375123429486,0.9492170367181211,0.8942859246641002,0.01135074130193455,0.013974165353249378,0.007874015748031496,0.007874015748031496
supervised,0,occlusion,all200,200,0.9260625417633066,0.7265273521616138,0.9535307696461678,0.9784846046873704,0.7503772976069878,0.16843602821230888,0.21586738407611847,0.15,0.2
supervised,0,occlusion,primary,127,0.9505619307904407,0.8063421486612685,0.9778375123429486,0.9741789988590188,0.8214752169536016,0.11113771303432195,0.15408800953016508,0.05511811023622047,0.10236220472440945
supervised,1,gradcam,all200,200,0.895920914547976,0.7893414197014406,0.9465037414431572,0.9472455136212823,0.8247940144013367,0.03713882982730866,0.057264544814825055,0.035,0.055
supervised,1,gradcam,primary,118,0.9379400057233069,0.8714032628585944,0.9717650549896693,0.9649680257616636,0.8945370092902807,0.01613331699775437,0.015320165682647187,0.00847457627118644,0.00847457627118644
supervised,1,gradcampp,all200,200,0.8783337388678444,0.8170538919067448,0.9465037414431572,0.9244069885613447,0.8593771967889368,0.01903205469250679,0.031397219896316525,0.005,0.025
supervised,1,gradcampp,primary,118,0.9286094010372101,0.8851786645010578,0.9717650549896693,0.9551915866062722,0.9091982682137781,0.011366735575562817,0.012043298806174326,0.0,0.0
supervised,1,occlusion,all200,200,0.9210774361087886,0.7208916137276415,0.9465037414431572,0.979352262878637,0.7488814360668172,0.1662079121172428,0.21750427037477493,0.12,0.195
supervised,1,occlusion,primary,118,0.9480384436398593,0.8108895267861352,0.9717650549896693,0.9768087463593295,0.8308403283087885,0.11294505454726138,0.1584812902798087,0.0423728813559322,0.11016949152542373
supervised,2,gradcam,all200,200,0.9023821441653649,0.7920336485095945,0.9526479703187942,0.9488581054530272,0.8224651157433045,0.042991016209125515,0.06254726484417915,0.05,0.055
supervised,2,gradcam,primary,123,0.9380216084404615,0.8649338927651906,0.9748914842683125,0.9623068345589559,0.885360108255179,0.02311512585577926,0.018198915613376027,0.024390243902439025,0.008130081300813009
supervised,2,gradcampp,all200,200,0.8831989964560236,0.8204202934967989,0.9526479703187942,0.9234116019505316,0.8575449486601272,0.018979112952947616,0.030633121132850646,0.01,0.02
supervised,2,gradcampp,primary,123,0.9258043418946341,0.8832641895195119,0.9748914842683125,0.9493662410621632,0.9046395279437333,0.010338243914813531,0.01122687987195767,0.0,0.0
supervised,2,occlusion,all200,200,0.9257613676436077,0.7261833900773657,0.9526479703187942,0.9783026102775945,0.7498313852281232,0.1669988849759102,0.21065320298075677,0.14,0.195
supervised,2,occlusion,primary,123,0.9472408238235753,0.8109964829467549,0.9748914842683125,0.9737187434435691,0.827739380350355,0.1017771985957293,0.14845437998694133,0.056910569105691054,0.10569105691056911
swav,0,gradcam,all200,200,0.7982969113180242,0.5322698846422198,0.9266914704442024,0.8613393360371304,0.5627098300123027,0.09716267183423043,0.19630190841853618,0.075,0.15
swav,0,gradcam,primary,127,0.8572240427919195,0.5960674741747878,0.97206509958102,0.8815013119016546,0.6090108588546301,0.07685273228667852,0.16098297862556038,0.047244094488188976,0.08661417322834646
swav,0,gradcampp,all200,200,0.7444885540994776,0.6107021773124192,0.9266914704442024,0.8019922667570415,0.647626293713563,0.06287578292191029,0.12499812230467797,0.06,0.08
swav,0,gradcampp,primary,127,0.8029859166917629,0.6889367169358294,0.97206509958102,0.8239413834204583,0.7051413119743607,0.04789682448379637,0.09244097170867319,0.023622047244094488,0.023622047244094488
swav,0,occlusion,all200,200,0.7563049519163297,0.5171115968505656,0.9266914704442024,0.8226503029670128,0.5455413296230438,0.1902724329382181,0.2803347723931074,0.145,0.245
swav,0,occlusion,primary,127,0.8092436396063547,0.6017819253074772,0.97206509958102,0.8324738509672264,0.6153234789008055,0.14699892687985278,0.23043805008798135,0.05511811023622047,0.14960629921259844
swav,1,gradcam,all200,200,0.7882495383032301,0.5238228737616999,0.9194590386003256,0.8561743307113986,0.5573002761421109,0.09830650076270103,0.20018126688897608,0.06,0.15
swav,1,gradcam,primary,118,0.8491240264110148,0.60822981170032,0.9668704852209253,0.8777903176683022,0.623783384452912,0.07136370443691642,0.1600518044778856,0.00847457627118644,0.07627118644067797
swav,1,gradcampp,all200,200,0.7352375307379249,0.6004059730549244,0.9194590386003256,0.7963556006199619,0.6409781779683179,0.06352657869458199,0.12957958959043026,0.06,0.085
swav,1,gradcampp,primary,118,0.7992024205765234,0.6988329245219376,0.9668704852209253,0.824456830140048,0.7179463602245028,0.04666707450050419,0.08929472328242609,0.00847457627118644,0.01694915254237288
swav,1,occlusion,all200,200,0.748321046666561,0.5103016873233757,0.9194590386003256,0.8197831733964814,0.5413883868735495,0.19322297640144825,0.281640048250556,0.14,0.245
swav,1,occlusion,primary,118,0.8117257151865115,0.6021785871442288,0.9668704852209253,0.8393848604764369,0.6178799391983548,0.14971524375980183,0.22909097272460743,0.05084745762711865,0.11864406779661017
swav,2,gradcam,all200,200,0.7965808283033765,0.5342394874982725,0.926650705486536,0.8580142409829693,0.5639335941760285,0.09808393880724907,0.19537181451916694,0.065,0.16
swav,2,gradcam,primary,123,0.8431705893887066,0.6022257129300792,0.9680760551274308,0.8694865453982996,0.6156587219052655,0.06828840476710622,0.15006509302108267,0.024390243902439025,0.08943089430894309
swav,2,gradcampp,all200,200,0.744369822972303,0.6106477509632395,0.926650705486536,0.8001713800153297,0.6466934143769305,0.06474399827420711,0.12258853182196618,0.05,0.07
swav,2,gradcampp,primary,123,0.798740203157619,0.6846231334565328,0.9680760551274308,0.822044698797007,0.7011154593725094,0.047485861594114845,0.08276564633943201,0.016260162601626018,0.024390243902439025
swav,2,occlusion,all200,200,0.7552160924026927,0.5191411721637078,0.926650705486536,0.8202937228562436,0.5462364777731331,0.19276881143450736,0.2790255069732666,0.145,0.255
swav,2,occlusion,primary,123,0.8060830981854809,0.5957861554825895,0.9680760551274308,0.831180716613142,0.608946030595792,0.14567236929405025,0.22565778653796126,0.07317073170731707,0.17073170731707318
