condition,slice,method_a,method_b,n_seeds,mean_delta_insertion_auc,std_delta_insertion_auc,mean_delta_deletion_auc,std_delta_deletion_auc,mean_n_images,min_n_images,max_n_images
moco,primary,gradcam,gradcampp,3,-0.007567843833246155,0.0002868995782696632,0.004566928666175015,0.0005518075502152085,122.66666666666667,118,127
random_init,primary,gradcam,gradcampp,3,-0.00921711281585416,0.003327042236681655,0.010397755977676284,0.005352042594701568,122.66666666666667,118,127
supervised,primary,gradcam,gradcampp,3,-0.010692127826541303,0.0014502695323062077,0.016623611287723605,0.0024827556178289014,122.66666666666667,118,127
swav,primary,gradcam,gradcampp,3,-0.04953003938857862,0.00491558069265536,0.08862325870303761,0.005509503786762233,122.66666666666667,118,127
