condition,seed,epoch,batch_index,num_batches,global_step,train_loss
moco,0,1,1,63,0,2.3020758628845215
moco,0,1,2,63,1,2.3013429641723633
moco,0,1,3,63,2,2.2946977615356445
moco,0,1,4,63,3,2.295370101928711
moco,0,1,5,63,4,2.2930569648742676
moco,0,1,6,63,5,2.2903974056243896
moco,0,1,7,63,6,2.290372133255005
moco,0,1,8,63,7,2.2851576805114746
moco,0,1,9,63,8,2.2815914154052734
moco,0,1,10,63,9,2.283553123474121
moco,0,1,11,63,10,2.2799923419952393
moco,0,1,12,63,11,2.27530837059021
moco,0,1,13,63,12,2.277846336364746
moco,0,1,14,63,13,2.2789371013641357
moco,0,1,15,63,14,2.2712080478668213
moco,0,1,16,63,15,2.26776123046875
moco,0,1,17,63,16,2.2656824588775635
moco,0,1,18,63,17,2.2619423866271973
moco,0,1,19,63,18,2.266287326812744
moco,0,1,20,63,19,2.2627367973327637
moco,0,1,21,63,20,2.2593164443969727
moco,0,1,22,63,21,2.2645010948181152
moco,0,1,23,63,22,2.2567076683044434
moco,0,1,24,63,23,2.2541794776916504
moco,0,1,25,63,24,2.255235195159912
moco,0,1,26,63,25,2.248394250869751
moco,0,1,27,63,26,2.251272201538086
moco,0,1,28,63,27,2.246762752532959
moco,0,1,29,63,28,2.2461438179016113
moco,0,1,30,63,29,2.2371115684509277
moco,0,1,31,63,30,2.240299701690674
moco,0,1,32,63,31,2.24289870262146
moco,0,1,33,63,32,2.240112543106079
moco,0,1,34,63,33,2.2307729721069336
moco,0,1,35,63,34,2.238560914993286
moco,0,1,36,63,35,2.2302160263061523
moco,0,1,37,63,36,2.225320339202881
moco,0,1,38,63,37,2.235964775085449
moco,0,1,39,63,38,2.227330207824707
moco,0,1,40,63,39,2.215083360671997
moco,0,1,41,63,40,2.2214603424072266
moco,0,1,42,63,41,2.2158102989196777
moco,0,1,43,63,42,2.2148873805999756
moco,0,1,44,63,43,2.2084407806396484
moco,0,1,45,63,44,2.2273783683776855
moco,0,1,46,63,45,2.222186326980591
moco,0,1,47,63,46,2.20076847076416
moco,0,1,48,63,47,2.2061588764190674
moco,0,1,49,63,48,2.195281982421875
moco,0,1,50,63,49,2.197554588317871
moco,0,1,51,63,50,2.2020750045776367
moco,0,1,52,63,51,2.1935195922851562
moco,0,1,53,63,52,2.196213483810425
moco,0,1,54,63,53,2.1893038749694824
moco,0,1,55,63,54,2.1904072761535645
moco,0,1,56,63,55,2.1909079551696777
moco,0,1,57,63,56,2.1719775199890137
moco,0,1,58,63,57,2.1894476413726807
moco,0,1,59,63,58,2.1741795539855957
moco,0,1,60,63,59,2.182170867919922
moco,0,1,61,63,60,2.193187952041626
moco,0,1,62,63,61,2.176806688308716
moco,0,1,63,63,62,2.1672747135162354
moco,0,2,1,63,63,2.171558380126953
moco,0,2,2,63,64,2.184525728225708
moco,0,2,3,63,65,2.1719472408294678
moco,0,2,4,63,66,2.174448251724243
moco,0,2,5,63,67,2.169332504272461
moco,0,2,6,63,68,2.158395767211914
moco,0,2,7,63,69,2.154974937438965
moco,0,2,8,63,70,2.1607208251953125
moco,0,2,9,63,71,2.167456865310669
moco,0,2,10,63,72,2.155210256576538
moco,0,2,11,63,73,2.1428303718566895
moco,0,2,12,63,74,2.145981788635254
moco,0,2,13,63,75,2.164066791534424
moco,0,2,14,63,76,2.1587636470794678
moco,0,2,15,63,77,2.136744260787964
moco,0,2,16,63,78,2.146303176879883
moco,0,2,17,63,79,2.1366164684295654
moco,0,2,18,63,80,2.1306395530700684
moco,0,2,19,63,81,2.1481151580810547
moco,0,2,20,63,82,2.123283863067627
moco,0,2,21,63,83,2.117696762084961
moco,0,2,22,63,84,2.1397509574890137
moco,0,2,23,63,85,2.137228012084961
moco,0,2,24,63,86,2.1125006675720215
moco,0,2,25,63,87,2.1149191856384277
moco,0,2,26,63,88,2.1291847229003906
moco,0,2,27,63,89,2.1359009742736816
moco,0,2,28,63,90,2.1185412406921387
moco,0,2,29,63,91,2.1189725399017334
moco,0,2,30,63,92,2.1224677562713623
moco,0,2,31,63,93,2.1203598976135254
moco,0,2,32,63,94,2.1178698539733887
moco,0,2,33,63,95,2.104736804962158
moco,0,2,34,63,96,2.100058078765869
moco,0,2,35,63,97,2.1123619079589844
moco,0,2,36,63,98,2.0907206535339355
moco,0,2,37,63,99,2.1378493309020996
moco,0,2,38,63,100,2.1160850524902344
moco,0,2,39,63,101,2.096839427947998
moco,0,2,40,63,102,2.1170294284820557
moco,0,2,41,63,103,2.1042537689208984
