condition,seed,recipe_id,epoch,train_loss,val_loss,train_acc,val_acc,lr
swav,1,probe_recipe_v1,1,2.0159439477920533,1.6647284173965453,0.59625,0.861,0.0003
swav,1,probe_recipe_v1,2,1.5245064287185668,1.21376216506958,0.827,0.923,0.0003
swav,1,probe_recipe_v1,3,1.1972787847518922,0.923931755065918,0.8625,0.924,0.0003
swav,1,probe_recipe_v1,4,0.9777744345664978,0.7352511792182922,0.8675,0.931,0.0003
swav,1,probe_recipe_v1,5,0.8325118856430054,0.6108304929733276,0.87675,0.937,0.0003
swav,1,probe_recipe_v1,6,0.7337920861244202,0.5200735869407653,0.88175,0.942,0.0003
swav,1,probe_recipe_v1,7,0.6623123683929444,0.45399993801116945,0.883,0.948,0.0003
swav,1,probe_recipe_v1,8,0.5945008029937744,0.4042097578048706,0.89325,0.955,0.0003
swav,1,probe_recipe_v1,9,0.5523873391151428,0.3650287458896637,0.89925,0.957,0.0003
swav,1,probe_recipe_v1,10,0.522321849822998,0.3330752968788147,0.89675,0.959,0.0003
swav,1,probe_recipe_v1,11,0.48651641178131105,0.308749445438385,0.8975,0.963,0.0003
swav,1,probe_recipe_v1,12,0.46000836944580076,0.28569998049736023,0.90975,0.962,0.0003
swav,1,probe_recipe_v1,13,0.44143441677093503,0.2672635931968689,0.90175,0.965,0.0003
swav,1,probe_recipe_v1,14,0.4208146538734436,0.25226507568359374,0.91,0.966,0.0003
swav,1,probe_recipe_v1,15,0.40191579937934874,0.23926408743858338,0.913,0.967,0.0003
swav,1,probe_recipe_v1,16,0.3842570958137512,0.22631622457504272,0.916,0.968,0.0003
swav,1,probe_recipe_v1,17,0.3793074717521667,0.21472448086738585,0.9065,0.97,0.0003
swav,1,probe_recipe_v1,18,0.3643022406101227,0.20574017763137817,0.9165,0.967,0.0003
swav,1,probe_recipe_v1,19,0.34824514627456665,0.19721382117271424,0.919,0.97,0.0003
swav,1,probe_recipe_v1,20,0.3410018713474274,0.1897121832370758,0.92025,0.97,0.0003
swav,1,probe_recipe_v1,21,0.33017436623573304,0.18221721291542053,0.9215,0.97,0.0003
swav,1,probe_recipe_v1,22,0.3306134238243103,0.1757596733570099,0.922,0.971,0.0003
swav,1,probe_recipe_v1,23,0.31392445421218873,0.17007012414932252,0.92075,0.97,0.0003
swav,1,probe_recipe_v1,24,0.3084875433444977,0.16574973249435423,0.92425,0.971,0.0003
swav,1,probe_recipe_v1,25,0.3062337801456451,0.16235531878471374,0.923,0.97,0.0003
swav,1,probe_recipe_v1,26,0.2975840847492218,0.15643177223205568,0.927,0.972,0.0003
swav,1,probe_recipe_v1,27,0.28930160331726074,0.15225142431259156,0.9305,0.972,0.0003
swav,1,probe_recipe_v1,28,0.2828290026187897,0.1487305450439453,0.929,0.971,0.0003
swav,1,probe_recipe_v1,29,0.2798130042552948,0.14563232910633087,0.92725,0.972,0.0003
swav,1,probe_recipe_v1,30,0.2760056196451187,0.14087394177913665,0.929,0.974,0.0003
swav,1,probe_recipe_v1,31,0.26901346707344054,0.13805594611167907,0.93325,0.973,0.0003
swav,1,probe_recipe_v1,32,0.26339151740074157,0.13484427201747895,0.931,0.973,0.0003
swav,1,probe_recipe_v1,33,0.2607381942272186,0.13186419939994812,0.93325,0.973,0.0003
swav,1,probe_recipe_v1,34,0.2603386994600296,0.129781844496727,0.9335,0.974,0.0003
swav,1,probe_recipe_v1,35,0.2560597355365753,0.12726359283924102,0.9305,0.973,0.0003
swav,1,probe_recipe_v1,36,0.24849313509464263,0.12559339344501497,0.93075,0.973,0.0003
swav,1,probe_recipe_v1,37,0.25214105534553527,0.12276714372634888,0.9305,0.973,0.0003
swav,1,probe_recipe_v1,38,0.24251456022262574,0.119769695520401,0.9375,0.974,0.0003
swav,1,probe_recipe_v1,39,0.24695374703407288,0.11797599768638611,0.9315,0.973,0.0003
swav,1,probe_recipe_v1,40,0.23864533650875092,0.1170902144908905,0.9365,0.973,0.0003
swav,1,probe_recipe_v1,41,0.23284044456481934,0.11468267929553985,0.93375,0.974,0.0003
swav,1,probe_recipe_v1,42,0.22993381905555726,0.11279141545295715,0.94025,0.974,0.0003
swav,1,probe_recipe_v1,43,0.22287902164459228,0.11081049621105193,0.94075,0.976,0.0003
swav,1,probe_recipe_v1,44,0.2285306307077408,0.10923188734054566,0.93375,0.974,0.0003
swav,1,probe_recipe_v1,45,0.22432098245620727,0.10791523325443268,0.9415,0.975,0.0003
swav,1,probe_recipe_v1,46,0.22147122073173522,0.10693834567070007,0.93875,0.973,0.0003
swav,1,probe_recipe_v1,47,0.2210186651945114,0.10473041927814483,0.937,0.972,0.0003
swav,1,probe_recipe_v1,48,0.2168094357252121,0.10373594915866852,0.939,0.973,0.0003
swav,1,probe_recipe_v1,49,0.21917728447914123,0.1014317889213562,0.93725,0.976,0.0003
swav,1,probe_recipe_v1,50,0.2167133904695511,0.10155331110954284,0.94025,0.975,0.0003
