condition,seed,recipe_id,epoch,train_loss,val_loss,train_acc,val_acc,lr
supervised,2,probe_recipe_v1,1,1.8190471992492676,1.4151547040939332,0.657,0.932,0.0003
supervised,2,probe_recipe_v1,2,1.1752172503471374,0.9366848545074463,0.88325,0.957,0.0003
supervised,2,probe_recipe_v1,3,0.8397012996673584,0.6687852153778077,0.896,0.961,0.0003
supervised,2,probe_recipe_v1,4,0.6603781929016114,0.5105134897232055,0.902,0.964,0.0003
supervised,2,probe_recipe_v1,5,0.5460483274459839,0.4107564163208008,0.90925,0.966,0.0003
supervised,2,probe_recipe_v1,6,0.4716784348487854,0.3421995873451233,0.914,0.969,0.0003
supervised,2,probe_recipe_v1,7,0.4254051856994629,0.2944373128414154,0.91425,0.971,0.0003
supervised,2,probe_recipe_v1,8,0.38689634525775907,0.258098562002182,0.9155,0.971,0.0003
supervised,2,probe_recipe_v1,9,0.359886741399765,0.2317531237602234,0.917,0.972,0.0003
supervised,2,probe_recipe_v1,10,0.3240304379463196,0.2102411994934082,0.927,0.973,0.0003
supervised,2,probe_recipe_v1,11,0.32430336260795595,0.1932869083881378,0.92,0.971,0.0003
supervised,2,probe_recipe_v1,12,0.29960389065742493,0.17947394371032716,0.9235,0.974,0.0003
supervised,2,probe_recipe_v1,13,0.29277366828918455,0.16753635597229005,0.922,0.973,0.0003
supervised,2,probe_recipe_v1,14,0.28207632327079774,0.15862502908706666,0.92625,0.972,0.0003
supervised,2,probe_recipe_v1,15,0.27138836359977725,0.14960919332504272,0.92775,0.973,0.0003
supervised,2,probe_recipe_v1,16,0.26895158863067625,0.14221741724014283,0.927,0.973,0.0003
supervised,2,probe_recipe_v1,17,0.2595036426782608,0.1353484766483307,0.92675,0.974,0.0003
supervised,2,probe_recipe_v1,18,0.24595426595211028,0.1299484977722168,0.93075,0.973,0.0003
supervised,2,probe_recipe_v1,19,0.2451020404100418,0.12491558337211608,0.928,0.974,0.0003
supervised,2,probe_recipe_v1,20,0.23766069626808167,0.12082614755630493,0.93075,0.975,0.0003
supervised,2,probe_recipe_v1,21,0.23816321992874145,0.11727794289588928,0.92925,0.975,0.0003
supervised,2,probe_recipe_v1,22,0.21852762544155122,0.11301982116699219,0.9355,0.975,0.0003
supervised,2,probe_recipe_v1,23,0.2367553231716156,0.11021051025390625,0.92925,0.975,0.0003
supervised,2,probe_recipe_v1,24,0.22432435405254364,0.10686604928970336,0.936,0.976,0.0003
supervised,2,probe_recipe_v1,25,0.22342062425613404,0.10404622077941894,0.933,0.976,0.0003
supervised,2,probe_recipe_v1,26,0.2218710709810257,0.10187724804878234,0.93425,0.976,0.0003
supervised,2,probe_recipe_v1,27,0.21077234172821044,0.09903516578674317,0.9375,0.976,0.0003
supervised,2,probe_recipe_v1,28,0.204654767870903,0.09731460523605347,0.93725,0.977,0.0003
supervised,2,probe_recipe_v1,29,0.2040222125649452,0.09496940350532532,0.93725,0.977,0.0003
supervised,2,probe_recipe_v1,30,0.19655089354515076,0.09359774208068848,0.93875,0.977,0.0003
supervised,2,probe_recipe_v1,31,0.203109372317791,0.09207683062553405,0.938,0.978,0.0003
supervised,2,probe_recipe_v1,32,0.19931645333766937,0.09149422836303711,0.939,0.978,0.0003
supervised,2,probe_recipe_v1,33,0.19369418489933013,0.08996336245536804,0.94175,0.978,0.0003
supervised,2,probe_recipe_v1,34,0.19804737234115602,0.08751979029178619,0.9355,0.978,0.0003
supervised,2,probe_recipe_v1,35,0.18741836833953857,0.08620106291770935,0.944,0.978,0.0003
supervised,2,probe_recipe_v1,36,0.19454891139268876,0.08529488110542298,0.9385,0.978,0.0003
supervised,2,probe_recipe_v1,37,0.18130703848600388,0.08382250201702118,0.94325,0.979,0.0003
supervised,2,probe_recipe_v1,38,0.18421425431966781,0.08231025958061218,0.937,0.978,0.0003
supervised,2,probe_recipe_v1,39,0.18640127265453338,0.08144834339618683,0.94,0.978,0.0003
supervised,2,probe_recipe_v1,40,0.17324463713169097,0.08043316888809204,0.946,0.977,0.0003
supervised,2,probe_recipe_v1,41,0.1745855571627617,0.07955727589130401,0.9435,0.978,0.0003
supervised,2,probe_recipe_v1,42,0.18030687475204468,0.0789443930387497,0.94,0.978,0.0003
supervised,2,probe_recipe_v1,43,0.18577356112003326,0.07827793550491333,0.94125,0.977,0.0003
supervised,2,probe_recipe_v1,44,0.17687893742322922,0.07669953787326812,0.9435,0.978,0.0003
supervised,2,probe_recipe_v1,45,0.170190358877182,0.07623261570930481,0.9445,0.978,0.0003
supervised,2,probe_recipe_v1,46,0.17230528876185416,0.07592052102088928,0.9445,0.98,0.0003
supervised,2,probe_recipe_v1,47,0.17578377974033355,0.07428890180587769,0.9455,0.979,0.0003
supervised,2,probe_recipe_v1,48,0.16492900216579437,0.07407252049446106,0.9465,0.978,0.0003
supervised,2,probe_recipe_v1,49,0.16859944438934327,0.07372826755046845,0.948,0.979,0.0003
supervised,2,probe_recipe_v1,50,0.18017653918266296,0.07260346210002899,0.9385,0.979,0.0003
